[Highest Overhead]: Salary Expense  : 31.09%  
[Cash Surplus] Day: 14, Amount: SGD5075229.0 
[Cash Surplus] Day: 16, Amount: SGD203037.0 
[Cash Surplus] Day: 17, Amount: SGD3482792.0 
[Cash Surplus] Day: 23, Amount: SGD61329.0 
[Cash Surplus] Day: 24, Amount: SGD1321043.0 
[Cash Surplus] Day: 25, Amount: SGD2792472.0 
[Cash Surplus] Day: 28, Amount: SGD203716.0 
[Cash Surplus] Day: 29, Amount: SGD2761267.0 
[Cash Surplus] Day: 30, Amount: SGD128374.0 
[Cash Surplus] Day: 32, Amount: SGD142428.0 
[Cash Surplus] Day: 33, Amount: SGD572532.0 
[Cash Surplus] Day: 34, Amount: SGD2707393.0 
[Cash Surplus] Day: 35, Amount: SGD553737.0 
[Cash Surplus] Day: 36, Amount: SGD546362.0 
[Cash Surplus] Day: 38, Amount: SGD64613.0 
[Cash Surplus] Day: 40, Amount: SGD1140666.0 
[Cash Surplus] Day: 42, Amount: SGD1087870.0 
[Cash Surplus] Day: 43, Amount: SGD103138.0 
[Cash Surplus] Day: 44, Amount: SGD642506.0 
[Cash Surplus] Day: 45, Amount: SGD1291660.0 
[Cash Surplus] Day: 48, Amount: SGD526664.0 
[Cash Surplus] Day: 52, Amount: SGD1009919.0 
[Cash Surplus] Day: 54, Amount: SGD178232.0 
[Cash Surplus] Day: 55, Amount: SGD44885.0 
[Cash Surplus] Day: 57, Amount: SGD2233398.0 
[Cash Surplus] Day: 61, Amount: SGD383918.0 
[Cash Surplus] Day: 62, Amount: SGD247929.0 
[Cash Surplus] Day: 64, Amount: SGD137924.0 
[Cash Surplus] Day: 65, Amount: SGD5380287.0 
[Cash Surplus] Day: 70, Amount: SGD763912.0 
[Cash Surplus] Day: 72, Amount: SGD947471.0 
[Cash Surplus] Day: 73, Amount: SGD1541696.0 
[Cash Surplus] Day: 76, Amount: SGD186662.0 
[Cash Surplus] Day: 78, Amount: SGD136403.0 
[Cash Surplus] Day: 80, Amount: SGD1390166.0 
[Cash Surplus] Day: 84, Amount: SGD4607197.0 
[Cash Surplus] Day: 85, Amount: SGD1032775.0 
[Cash Surplus] Day: 88, Amount: SGD83737.0 
[Cash Surplus] Day: 89, Amount: SGD764426.0 
[Cash Surplus] Day: 90, Amount: SGD27578.0 
[Highest Cash Surplus] Day: 65, Amount: SGD5380287.0 
[2nd Highest Cash Surplus] Day: 14, Amount: SGD5075229.0 
[3rd Highest Cash Surplus] Day: 84, Amount: SGD4607197.0 
[Cash Deficit] Day 12, Amount: $2193369.0 
[Cash Deficit] Day 13, Amount: $20747.0 
[Cash Deficit] Day 15, Amount: $2535911.0 
[Cash Deficit] Day 18, Amount: $435430.0 
[Cash Deficit] Day 19, Amount: $191144.0 
[Cash Deficit] Day 20, Amount: $125520.0 
[Cash Deficit] Day 21, Amount: $1652507.0 
[Cash Deficit] Day 22, Amount: $114584.0 
[Cash Deficit] Day 26, Amount: $572419.0 
[Cash Deficit] Day 27, Amount: $3189260.0 
[Cash Deficit] Day 31, Amount: $428811.0 
[Cash Deficit] Day 37, Amount: $1521274.0 
[Cash Deficit] Day 39, Amount: $196503.0 
[Cash Deficit] Day 41, Amount: $1956428.0 
[Cash Deficit] Day 46, Amount: $158830.0 
[Cash Deficit] Day 47, Amount: $78126.0 
[Cash Deficit] Day 49, Amount: $279282.0 
[Cash Deficit] Day 50, Amount: $205374.0 
[Cash Deficit] Day 51, Amount: $400830.0 
[Cash Deficit] Day 53, Amount: $1206001.0 
[Cash Deficit] Day 56, Amount: $1178226.0 
